Log file open, 03/16/15 15:21:07
LogInit:Display: Running engine for game: KodainaKingdom
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.16-19.21.08:152][  0]LogD3D11RHI: Async texture creation enabled
[2015.03.16-19.21.08:240][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2015.03.16-19.21.08:367][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.03.16-19.21.10:774][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.16-19.21.11:462][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.16-19.21.11:555][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.03.16-19.21.11:592][  0]LogDerivedDataCache: Loaded boot cache 0.04s 39MB C:/Users/Owner/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.03.16-19.21.11:592][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/Owner/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.03.16-19.21.11:593][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.03.16-19.21.11:593][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.03.16-19.21.11:700][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.03.16-19.21.11:713][  0]LogDerivedDataCache: Using Local data cache path C:/Users/Owner/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.03.16-19.21.12:247][  0]LogModuleManager:Warning: Found module file ../../../Engine/Plugins/Runtime/WebBrowserAsPlugin/Binaries/Win64/UE4Editor-WebBrowserAsPlugin.dll (API version 2440994), but it was incompatible with the current engine API version (2455222). This is likely a stale module that must be recompiled.
[2015.03.16-19.21.12:444][  0]LogMaterial: Missing cached shader map for material WorldGridMaterial, compiling. Is special engine material.
[2015.03.16-19.22.44:841][  0]LogMaterial: Missing cached shader map for material DefaultDeferredDecalMaterial, compiling. 
[2015.03.16-19.22.45:350][  0]LogMaterial: Missing cached shader map for material DefaultLightFunctionMaterial, compiling. 
[2015.03.16-19.22.46:142][  0]LogMaterial: Missing cached shader map for material DefaultPostProcessMaterial, compiling. 
[2015.03.16-19.22.47:004][  0]LogMaterial: Missing cached shader map for material LandscapeGizmo_Mat, compiling. 
[2015.03.16-19.22.47:037][  0]LogMaterial: Missing cached shader map for material LandscapeGizmoHeight_Mat, compiling. 
[2015.03.16-19.22.47:112][  0]LogMaterial: Missing cached shader map for material SplineEditorMeshMat, compiling. 
[2015.03.16-19.22.47:181][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.03.16-19.22.47:181][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.03.16-19.22.47:331][  0]LogMaterial: Missing cached shader map for material SkySphereMaterial, compiling. 
[2015.03.16-19.22.47:354][  0]LogMaterial: Missing cached shader map for material FloorPlaneMaterial, compiling. 
[2015.03.16-19.22.47:462][  0]LogMaterial: Missing cached shader map for material Widget3DPassThrough, compiling. 
[2015.03.16-19.22.47:490][  0]LogMaterial: Missing cached shader map for material Widget3DPassThrough, compiling. 
[2015.03.16-19.22.47:499][  0]LogMaterial: Missing cached shader map for material Widget3DPassThrough, compiling. 
[2015.03.16-19.22.47:506][  0]LogMaterial: Missing cached shader map for material Widget3DPassThrough, compiling. 
[2015.03.16-19.22.47:528][  0]LogMaterial: Missing cached shader map for material MatineeCam_mat, compiling. 
[2015.03.16-19.22.47:568][  0]LogMaterial: Missing cached shader map for material HelpActorMaterial, compiling. 
[2015.03.16-19.22.47:695][  0]LogMaterial: Missing cached shader map for material DefaultTextMaterialOpaque, compiling. 
[2015.03.16-19.22.47:828][  0]LogMaterial: Missing cached shader map for material DefaultMaterial, compiling. 
[2015.03.16-19.22.47:961][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.03.16-19.22.48:215][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.03.16-19.22.50:380][  0]LogMaterial: Missing cached shader map for material DefaultSpriteMaterial, compiling. 
[2015.03.16-19.22.50:389][  0]LogMaterial: Missing cached shader map for material DefaultSpriteMaterial, compiling. 
[2015.03.16-19.22.50:452][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.03.16-19.22.51:153][  0]SourceControl: Info Source control is disabled
[2015.03.16-19.22.51:153][  0]SourceControl: Info Source control is disabled
[2015.03.16-19.22.51:153][  0]SourceControl: Info Source control is disabled
[2015.03.16-19.22.51:153][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.03.16-19.22.51:154][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.03.16-19.22.51:186][  0]SourceControl: Info Source control is disabled
[2015.03.16-19.22.51:908][  0]LogObj: 24231 objects as part of root set at end of initial load.
[2015.03.16-19.22.51:908][  0]LogUObjectAllocator: 5136440 out of 0 bytes used by permanent object pool.
[2015.03.16-19.22.52:037][  0]LogMaterial: Missing cached shader map for material HighResScreenshot, compiling. 
[2015.03.16-19.22.52:048][  0]LogMaterial: Missing cached shader map for material HighResScreenshotMask, compiling. 
[2015.03.16-19.22.52:067][  0]LogMaterial: Missing cached shader map for material HighResScreenshotCaptureRegion, compiling. 
[2015.03.16-19.22.52:108][  0]LogEngine: Initializing Engine...
[2015.03.16-19.22.59:117][  0]LogMaterial: Missing cached shader map for material WireframeMaterial, compiling. Is special engine material.
[2015.03.16-19.22.59:154][  0]LogMaterial: Missing cached shader map for material LevelColorationLitMaterial, compiling. Is special engine material.
[2015.03.16-19.22.59:325][  0]LogMaterial: Missing cached shader map for material LevelColorationUnlitMaterial, compiling. Is special engine material.
[2015.03.16-19.22.59:391][  0]LogMaterial: Missing cached shader map for material MAT_LevelColorationLitLightmapUV, compiling. Is special engine material.
[2015.03.16-19.22.59:578][  0]LogMaterial: Missing cached shader map for material ShadedLevelColorationLitMaterial, compiling. Is special engine material.
[2015.03.16-19.22.59:767][  0]LogMaterial: Missing cached shader map for material ShadedLevelColorationUnlitMateri, compiling. Is special engine material.
[2015.03.16-19.22.59:819][  0]LogMaterial: Missing cached shader map for material VertexColorMaterial, compiling. 
[2015.03.16-19.22.59:837][  0]LogMaterial: Missing cached shader map for material VertexColorViewMode_ColorOnly, compiling. 
[2015.03.16-19.23.00:002][  0]LogMaterial: Missing cached shader map for material VertexColorViewMode_AlphaAsColor, compiling. 
[2015.03.16-19.23.00:010][  0]LogMaterial: Missing cached shader map for material VertexColorViewMode_RedOnly, compiling. 
[2015.03.16-19.23.00:017][  0]LogMaterial: Missing cached shader map for material VertexColorViewMode_GreenOnly, compiling. 
[2015.03.16-19.23.00:024][  0]LogMaterial: Missing cached shader map for material VertexColorViewMode_BlueOnly, compiling. 
[2015.03.16-19.23.00:039][  0]LogMaterial: Missing cached shader map for material RemoveSurfaceMaterial, compiling. 
[2015.03.16-19.23.00:043][  0]LogMaterial: Missing cached shader map for material DebugMeshMaterial, compiling. 
[2015.03.16-19.23.00:076][  0]LogMaterial: Missing cached shader map for material M_InvalidLightmapSettings, compiling. 
[2015.03.16-19.23.00:104][  0]LogMaterial: Missing cached shader map for material GizmoMaterial, compiling. 
[2015.03.16-19.23.00:113][  0]LogMaterial: Missing cached shader map for material GeomMaterial, compiling. 
[2015.03.16-19.23.00:118][  0]LogMaterial: Missing cached shader map for material EditorBrushMaterial, compiling. 
[2015.03.16-19.23.00:127][  0]LogMaterial: Missing cached shader map for material BoneWeightMaterial, compiling. 
[2015.03.16-19.23.00:156][  0]LogMaterial: Missing cached shader map for material PreviewShadowIndicatorMaterial, compiling. 
[2015.03.16-19.23.00:191][  0]LogMaterial: Missing cached shader map for material PhAT_JointLimitMaterial, compiling. 
[2015.03.16-19.23.00:265][  0]LogInit: XAudio2 using 'Speakers (Realtek High Definition Audio)' : 2 channels at 48 kHz using 32 bits per sample (channel mask 0x3)
[2015.03.16-19.23.00:279][  0]LogInit: FAudioDevice initialized.
[2015.03.16-19.23.00:389][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.03.16-19.23.00:417][  0]LogDerivedDataCache: Saved boot cache 0.03s 42MB C:/Users/Owner/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.03.16-19.23.00:421][  0]LogInit: Texture streaming: Enabled
[2015.03.16-19.23.00:425][  0]LogMaterial: Missing cached shader map for material BaseColor, compiling. 
[2015.03.16-19.23.00:454][  0]LogMaterial: Missing cached shader map for material CustomDepth, compiling. 
[2015.03.16-19.23.00:462][  0]LogMaterial: Missing cached shader map for material DecalMask, compiling. 
[2015.03.16-19.23.00:469][  0]LogMaterial: Missing cached shader map for material FinalImage, compiling. 
[2015.03.16-19.23.00:483][  0]LogMaterial: Missing cached shader map for material LightingModel, compiling. 
[2015.03.16-19.23.00:490][  0]LogMaterial: Missing cached shader map for material MaterialAO, compiling. 
[2015.03.16-19.23.00:497][  0]LogMaterial: Missing cached shader map for material Metallic, compiling. 
[2015.03.16-19.23.00:523][  0]LogMaterial: Missing cached shader map for material Opacity, compiling. 
[2015.03.16-19.23.00:554][  0]LogMaterial: Missing cached shader map for material Roughness, compiling. 
[2015.03.16-19.23.00:620][  0]LogMaterial: Missing cached shader map for material SceneColor, compiling. 
[2015.03.16-19.23.00:628][  0]LogMaterial: Missing cached shader map for material SceneDepth, compiling. 
[2015.03.16-19.23.00:635][  0]LogMaterial: Missing cached shader map for material SeparateTranslucencyRGB, compiling. 
[2015.03.16-19.23.00:641][  0]LogMaterial: Missing cached shader map for material SeparateTranslucencyA, compiling. 
[2015.03.16-19.23.00:648][  0]LogMaterial: Missing cached shader map for material Specular, compiling. 
[2015.03.16-19.23.00:654][  0]LogMaterial: Missing cached shader map for material SubsurfaceColor, compiling. 
[2015.03.16-19.23.00:661][  0]LogMaterial: Missing cached shader map for material WorldNormal, compiling. 
[2015.03.16-19.23.00:668][  0]LogMaterial: Missing cached shader map for material AmbientOcclusion, compiling. 
[2015.03.16-19.23.00:693][  0]LogMaterial: Missing cached shader map for material CustomDepthWorldUnits, compiling. 
[2015.03.16-19.23.00:701][  0]LogMaterial: Missing cached shader map for material SceneDepthWorldUnits, compiling. 
[2015.03.16-19.23.00:819][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.03.16-19.23.00:819][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.03.16-19.23.00:819][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.03.16-19.23.00:819][  0]LogAnalytics: SetUserId 35226550403f01e61bf75787a876a810|e8dad8564e6d4f898fb2f14da66fe74c|895c8296-c7c6-4d98-8220-90cf576083c0
[2015.03.16-19.23.00:820][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.03.16-19.23.00:884][  0]LogInit: Transaction tracking system initialized
[2015.03.16-19.23.01:517][  0]BlueprintLog: New page: Editor Load
[2015.03.16-19.23.01:609][  0]LogAssetRegistry: FAssetRegistry took 0.0105 seconds to start up
[2015.03.16-19.23.01:610][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.03.16-19.23.03:330][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.16-19.23.04:002][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.16-19.23.04:973][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.03.16-19.23.04:974][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.03.16-19.23.04:985][  0]LogConsoleResponse:Display: 
[2015.03.16-19.23.05:042][  0]LogMaterial: Missing cached shader map for material Cross_Mat, compiling. 
[2015.03.16-19.23.05:068][  0]LogMaterial: Missing cached shader map for material PhAT_BoneSelectedMaterial, compiling. 
[2015.03.16-19.23.05:075][  0]LogMaterial: Missing cached shader map for material PhAT_ElemSelectedMaterial, compiling. 
[2015.03.16-19.23.05:102][  0]LogMaterial: Missing cached shader map for material PhAT_NoCollisionMaterial, compiling. 
[2015.03.16-19.23.05:109][  0]LogMaterial: Missing cached shader map for material PhAT_UnselectedMaterial, compiling. 
[2015.03.16-19.23.05:120][  0]LogMaterial: Missing cached shader map for material Tick_Mat, compiling. 
[2015.03.16-19.23.05:131][  0]LogMaterial: Missing cached shader map for material WidgetGridVertexColorMaterial_Ma, compiling. 
[2015.03.16-19.23.05:139][  0]LogMaterial: Missing cached shader map for material WidgetMaterial, compiling. 
[2015.03.16-19.23.05:161][  0]LogMaterial: Missing cached shader map for material WidgetMaterial_Current, compiling. 
[2015.03.16-19.23.05:169][  0]LogMaterial: Missing cached shader map for material WidgetMaterial_X, compiling. 
[2015.03.16-19.23.05:176][  0]LogMaterial: Missing cached shader map for material WidgetMaterial_Y, compiling. 
[2015.03.16-19.23.05:184][  0]LogMaterial: Missing cached shader map for material WidgetMaterial_Z, compiling. 
[2015.03.16-19.23.05:190][  0]LogMaterial: Missing cached shader map for material WidgetVertexColorMaterial, compiling. 
[2015.03.16-19.23.05:256][  0]LogMaterial: Missing cached shader map for material LevelGridMaterial, compiling. 
[2015.03.16-19.23.05:324][  0]LogMaterial: Missing cached shader map for material BlinkingCaret, compiling. 
[2015.03.16-19.23.05:373][  0]LogMaterial: Missing cached shader map for material M_StreamingPause, compiling. 
[2015.03.16-19.23.05:380][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.03.16-19.23.05:940][  0]SourceControl: Info Source control is disabled
[2015.03.16-19.23.05:940][  0]Cmd: MAP LOAD FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Maps/TestLevel.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.03.16-19.23.05:942][  0]LightingResults: New page: Lighting Build
[2015.03.16-19.23.05:974][  0]MapCheck: New page: Map Check
[2015.03.16-19.23.05:974][  0]LightingResults: New page: Lighting Build
[2015.03.16-19.23.05:986][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000005AC27B9EE0
[2015.03.16-19.23.13:315][  0]LogClass:Warning: Property txtBorder of MessageBoxHUD_C is not serializable for package:  ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/RollingMovingHUD.uasset
[2015.03.16-19.23.13:315][  0]LogClass:Warning: Property txtLine1 of MessageBoxHUD_C is not serializable for package:  ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/RollingMovingHUD.uasset
[2015.03.16-19.23.13:315][  0]LogClass:Warning: Property txtLine2 of MessageBoxHUD_C is not serializable for package:  ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/RollingMovingHUD.uasset
[2015.03.16-19.23.13:315][  0]LogClass:Warning: Property txtLine3 of MessageBoxHUD_C is not serializable for package:  ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/RollingMovingHUD.uasset
[2015.03.16-19.23.13:315][  0]LogClass:Warning: Property txtLine4 of MessageBoxHUD_C is not serializable for package:  ../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/RollingMovingHUD.uasset
[2015.03.16-19.23.25:364][  0]LogStaticMesh: Building static mesh SM_Bush...
[2015.03.16-19.23.25:373][  0]LogStaticMesh: Built static mesh [27.521162ms] /Game/StarterContent/Props/SM_Bush.SM_Bush
[2015.03.16-19.23.25:406][  0]LogTexture:Display: Building textures: T_Bush_N (BC5)
[2015.03.16-19.23.25:470][  0]LogTexture:Display: Building textures: T_Bush_D (AutoDXT)
[2015.03.16-19.23.25:812][  0]LogMaterial: Missing cached shader map for material M_Bush, compiling. 
[2015.03.16-19.23.26:035][  0]LogMaterial: Missing cached shader map for material Brick_BathStone, compiling. 
[2015.03.16-19.23.26:042][  0]LogMaterial: Missing cached shader map for material M_Basic_Floor2, compiling. 
[2015.03.16-19.23.26:168][  0]LogMaterial: Missing cached shader map for material brick_ancientDiagonal, compiling. 
[2015.03.16-19.23.26:177][  0]LogMaterial: Missing cached shader map for material brick_guiGen, compiling. 
[2015.03.16-19.23.26:215][  0]LogMaterial: Missing cached shader map for material Brick_GuiBigCastleWall, compiling. 
[2015.03.16-19.23.27:119][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2015.03.16-19.23.27:120][  0]LogAIModule: Creating AISystem for world TestLevel
[2015.03.16-19.23.27:120][  0]Cmd: MAP CHECKDEP
[2015.03.16-19.23.27:120][  0]MapCheck: New page: TestLevel - Mar 16, 2015, 11:23:27 AM
[2015.03.16-19.23.27:478][  0]MapCheck: Info Map check complete: 0 Error(s), 0 Warning(s), took 358.113ms to complete.
[2015.03.16-19.23.27:479][  0]LogFileHelpers: Loading map 'TestLevel' took 21.538
[2015.03.16-19.23.27:644][  0]LogCollectionManager: Loaded 0 collections in 0.003814 seconds
[2015.03.16-19.23.27:666][  0]LogContentBrowser: Native class hierarchy populated in 0.0212 seconds. Added 1696 classes and 261 folders.
[2015.03.16-19.23.27:916][  0]LogContentBrowser: Native class hierarchy updated for 'SceneOutliner' in 0.0081 seconds. Added 1 classes and 2 folders.
[2015.03.16-19.23.28:142][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2015.03.16-19.23.28:144][  0]LogSlate:Warning: Failed to load font data from 'Veranda'
[2015.03.16-19.23.28:154][  0]LogUObjectGlobals:Warning: Failed to find object 'Class None.'
[2015.03.16-19.23.28:185][  0]LogLoad: Full Startup: 141.41 seconds (BP compile: 8.76 seconds)
[2015.03.16-19.23.28:787][  0]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Game/Materials'
[2015.03.16-19.23.29:007][  0]LogRenderer:Warning: Reallocating scene render targets to support 32x32 (Frame:2).
[2015.03.16-19.23.29:091][  0]LogMaterial: Missing cached shader map for material LevelGridMaterial2, compiling. 
[2015.03.16-19.23.29:102][  0]LogRenderer:Warning: Reallocating scene render targets to support 1176x904 (Frame:4).
[2015.03.16-19.23.38:886][ 30]LogAssetRegistry: Asset discovery search completed in 37.2880 seconds
[2015.03.16-19.24.02:953][633]LogEditorViewport: Clicking on Actor (LMB): PaperSpriteActor (Sky)
[2015.03.16-19.24.54:903][675]LogEditorViewport: Clicking on Actor (LMB): PaperSpriteActor (Sky)
[2015.03.16-19.24.56:393][763]LogEditorViewport: Clicking on Actor (LMB): Space_C (Space17)
[2015.03.16-19.25.01:283][982]LogMaterial: Missing cached shader map for material GridMaterial, compiling. 
[2015.03.16-19.25.01:381][982]LogMaterial: Missing cached shader map for material PersonaFloorMat, compiling. 
[2015.03.16-19.26.32:773][906]LogRenderer:Warning: Reallocating scene render targets to support 1400x904 (Frame:1479).
[2015.03.16-19.27.08:689][583]LogContentBrowser:Verbose: The content browser source was changed by the sources view to 'None'
[2015.03.16-19.27.08:689][583]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Game/StarterContent/Props'
[2015.03.16-19.27.13:611][765]LogRenderer:Warning: Reallocating scene render targets to support 1432x928 (Frame:3202).
[2015.03.16-19.27.16:112][867]LogMaterial: Missing cached shader map for material M_Basic_Wall, compiling. 
[2015.03.16-19.27.20:061][ 23]LogSavePackage: Save=220.361313ms
[2015.03.16-19.27.20:061][ 23]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/MaterialSphere0D29DE11422F45A7BAB1F69A99F7762B.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/StarterContent/Props/MaterialSphere.uasset'
[2015.03.16-19.27.24:911][297]BlueprintLog: New page: Pre-PIE auto-recompile
[2015.03.16-19.27.24:915][297]LogPlayLevel: [PIE] Compiling TestLevel before PIE...
[2015.03.16-19.27.25:185][297]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000005AB2A97BA0
[2015.03.16-19.27.25:232][297]LogPlayLevel: PIE:  Blueprint regeneration took 321 ms (1 blueprints)
[2015.03.16-19.27.25:232][297]PIE: New page: PIE session: TestLevel (Mar 16, 2015, 11:27:25 AM)
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (ClearAllHuds) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (ClearAllHuds) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:247][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:248][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:248][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:248][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:248][297]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.27.25:250][297]LogPlayLevel: PIE: StaticDuplicateObject took: (0.018156s)
[2015.03.16-19.27.25:251][297]LogPlayLevel: PIE: World Init took: (0.000436s)
[2015.03.16-19.27.25:251][297]LogPlayLevel: PIE: Created PIE world by copying editor world from /Game/Maps/TestLevel.TestLevel to /Game/Maps/UEDPIE_0_TestLevel.TestLevel (0.018744s)
[2015.03.16-19.27.25:313][297]LogWorld: Game class is 'Kodaina_C'
[2015.03.16-19.27.25:315][297]LogAIModule: Creating AISystem for world TestLevel
[2015.03.16-19.27.25:334][297]LogWorld: Bringing World /Game/Maps/UEDPIE_0_TestLevel.TestLevel up for play (max tick rate 60) at 2015.03.16-15.27.25
[2015.03.16-19.27.25:337][297]LogWorld: Bringing up level for play took: 0.022080
[2015.03.16-19.27.25:349][297]PIE: Info Play in editor start time for /Game/Maps/UEDPIE_0_TestLevel -0.126
[2015.03.16-19.27.33:668][728]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000005AB69D4680
[2015.03.16-19.27.35:725][847]BlueprintLog: New page: Pre-PIE auto-recompile
[2015.03.16-19.27.35:728][847]LogPlayLevel: [PIE] Compiling TestLevel before PIE...
[2015.03.16-19.27.35:900][847]LogPlayLevel: PIE:  Blueprint regeneration took 175 ms (1 blueprints)
